cod_dip,lic_dip,lib_dip,cod_vrs_vdi,lic_vdi,cod_vrs_vet,cod_etp,cod_cmp,lic_cmp,lic_etp,lib_etp,nbr_crd_vet,nbr_crd_vdi,cod_lse,lic_lse,eta_lse,typ_lse,nbr_min_elp_obl_chx_vet,nbr_max_elp_obl_chx_vet,cod_elp_pere,cod_elp,lic_elp,lib_elp,eta_elp,tem_sus_elp,lic_nel,nbr_crd_elp
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLG4L1,element VET L1,element VET L1,O,N,Année,
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLJ1S,Semestre 1,Semestre 1,O,N,Semestre,30
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLJ2S,Semestre 2,Semestre 2,O,N,Semestre,30
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,421,MLG4I2,7MI,Math-Info,LIC INFORMATIQUE 2,LICENCE INFORMATIQUE 2,60,180,MLG4I2,licence informatique 2,O,Obligatoire,,,,MLG4L2I,element VET L2,element VET L2,O,N,Année,
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,421,MLG4I2,7MI,Math-Info,LIC INFORMATIQUE 2,LICENCE INFORMATIQUE 2,60,180,MLG4I2,licence informatique 2,O,Obligatoire,,,,MLL3S,Semestre 3,Semestre 3,O,O,Semestre,30
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,421,MLG4I2,7MI,Math-Info,LIC INFORMATIQUE 2,LICENCE INFORMATIQUE 2,60,180,MLG4I2,licence informatique 2,O,Obligatoire,,,,MLL3SB,Semestre 3,Semestre 3,O,N,Semestre,30
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,421,MLG4I2,7MI,Math-Info,LIC INFORMATIQUE 2,LICENCE INFORMATIQUE 2,60,180,MLG4I2,licence informatique 2,O,Obligatoire,,,,MLL4S,Semestre 4,Semestre 4,O,N,Semestre,30
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,431,MLG4I3,7MI,Math-Info,LIC INFORMATIQUE 3,LICENCE INFORMATIQUE 3,60,180,MLG4I3,Licence 3 - Informatique,O,Obligatoire à choix,1,1,,MLG4L3I,element VET L3,element VET L3,O,O,Année,
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,431,MLG4I3,7MI,Math-Info,LIC INFORMATIQUE 3,LICENCE INFORMATIQUE 3,60,180,MLG4I3,Licence 3 - Informatique,O,Obligatoire à choix,1,1,,MLL5PIN,Parcours Informatique,Parcours Informatique,O,N,Parcours,
MLG4I,LIC INFORMATIQUE,LICENCE INFORMATIQUE,431,LIC INFORMATIQUE,431,MLG4I3,7MI,Math-Info,LIC INFORMATIQUE 3,LICENCE INFORMATIQUE 3,60,180,MLG4I3,Licence 3 - Informatique,O,Obligatoire à choix,1,1,,MLL5PMG,Parcours MIAGE,Parcours MIAGE,O,N,Parcours,
MLG4IA,LIC MIAGE,LICENCE MIAGE,431,LIC MIAGE,431,MLG4IA,9IT,IUT,L3 MIAGE APPRENTISSAGE,L3 MIAGE APPRENTISSAGE,60,180,LMLGASEM,Liste SEM,O,Obligatoire,,,,MLGASEM5,SEMESTRE 5,SEMESTRE 5,O,N,Semestre,30
MLG4IA,LIC MIAGE,LICENCE MIAGE,431,LIC MIAGE,431,MLG4IA,9IT,IUT,L3 MIAGE APPRENTISSAGE,L3 MIAGE APPRENTISSAGE,60,180,LMLGASEM,Liste SEM,O,Obligatoire,,,,MLGASEM6,SEMESTRE 6,SEMESTRE 6,O,N,Semestre,30
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLG4L1,element VET L1,element VET L1,O,N,Année,
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLJ1S,Semestre 1,Semestre 1,O,N,Semestre,30
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,411,MLG4C1,7MI,Math-Info,LIC  MATHS INFO 1,LICENCE  MATHEMATIQUES- INFORMATIQUE 1,60,180,MLG4C1,L1 Math-Info,O,Obligatoire,,,,MLJ2S,Semestre 2,Semestre 2,O,N,Semestre,30
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,421,MLG4M2,7MI,Math-Info,LIC MATHEMATIQUES 2,LICENCE MATHEMATIQUES 2,60,180,MLG4M2,Licence mathématiques 2,O,Obligatoire,,,,MLK3S,Semestre 3,Semestre 3,O,N,Semestre,30
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,421,MLG4M2,7MI,Math-Info,LIC MATHEMATIQUES 2,LICENCE MATHEMATIQUES 2,60,180,MLG4M2,Licence mathématiques 2,O,Obligatoire,,,,MLK4S,Semestre 4,Semestre 4,O,N,Semestre,30
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPEQ,Parcours EQ,Parcours EQ Economie Quantitative,O,N,Parcours,60
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPMA,Parcours MA,Parcours MA Mathématiques,O,N,Parcours,60
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPMAB,Parcours MA bi-licence,Parcours MA bi-licence,O,N,Parcours,60
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPMS,Parcours MS,Parcours MS Modélisation et Simulation,O,N,Parcours,60
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPMSB,Parcours MS bi-licence,Parcours MS bi-licence,O,N,Parcours,60
MLG4M,LIC MATHEMATIQUES,LICENCE MATHEMATIQUES,431,LIC MATHEMATIQUES,431,MLG4M3,7MI,Math-Info,LIC MATHEMATIQUES 3,LICENCE MATHEMATIQUES 3,60,180,MLG4M3,L3 Mathématiques,O,Obligatoire à choix,1,1,,MLKCPTS,Parcours TS,Parcours TS Techniques Statistiques,O,N,Parcours,60
